휠체어경사로 설치현황,,,
(1~4호선),,,
호선,설치역수,설치현황,
,,,- 대합실 지하1층 6번 통로 측
,,,대합실 지하1층 화장실 앞
,아현,4,- 3번 외부출구 측 E/V 앞
,,,"- 3,4번 외부출구 중앙계단 좌측"
,,,- 3번 외부출구 계단 앞
,,,- 대합실 지하1층 3번 출구 측 E/V 앞
,충정로,3,- 1번 외부출구 앞
,,,- 5번 외부출구 측 E/V 앞
,,,"- 대합실 지하1층 1,2번 출구 측 계단옆"
,도림천,1,- 1번 외부출구 앞
,양천구청,-,-
,신정네거리,1,- 2번 외부출구 측 E/V 앞
,신설동,1,- 10번 외부출구
,용두,2,- 4번 외부출구 측 E/V 앞
,,,- 4번 외부출구 측 E/V 앞
,신답,-,-
,용답,-,-
,소 계,119,
,,,
[3호선],,,
3호선,,,
구 분,역명,개 소,설치위치
3호선,지축,1,- 1번 외부출구 앞
,구파발,-,-
,연신내,-,-
,불광,2,- 4번 외부출구 앞
,,,- 1번 외부출구 측 E/V 앞
,녹번,1,- 3번 외부출구 측 E/V 앞
,홍제,2,- 4번 외부출구 측 E/V 앞
,,,대합실 지하1층 화장실 앞
,무악재,2,- 1번 외부출구 측 E/V 앞
,,,대합실 지하2층 화장실 앞
,독립문,2,- 3번 외부출구 앞
,,,- 4번 외부출구 측 E/V 앞
,경복궁,1,- 4번 외부출구 측 E/V 앞
,안국,1,"- 5,6번 외부출구 측 E/V 앞"
,종로3가,2,- 7번 외부출구 측 E/V 앞
,,,- 2-1번 외부출구 앞
,을지로3가,1,- 10번 외부출구 측 E/V 앞
,충무로,-,-
,동대입구,1,- 6번 외부출구 측 E/V 앞
,약수,1,- 3번 외부출구 측 E/V 앞
,금호,2,- 2번 외부출구 측 E/V 앞
,,,화장실 앞
,옥수,1,- 5번 외부출구 측 E/V 앞
,압구정,1,- 3번 외부출구 측 E/V 앞
,신사,1,- 1번 외부출구 측 E/V 앞
,잠원,1,- 1번 외부출구 측 E/V 앞
,고속터미널,1,- 2번 외부출구 앞
,교대,-,-
,남부터미널,2,- 5번 외부출구 앞
,,,- 5번 외부출구 측 E/V 앞
,양재,3,- 8번 외부출구 앞
,,,- 4번 외부출구 측 E/V 앞
,,,- 7번 외부출구 측 E/V 앞
,매봉,1,- 1번 외부출구 측 E/V 앞
,도곡,-,-
,대치,4,- 7번 외부출구 E/V 앞
,,,"- 대합실 지하1층 3,4번 출구 측 통로"
,,,"- 대합실 지하1층 1,2번 출구 측 통로"
,,,"- 대합실 지하1층 7,8번 출구 측 통로"
,학여울,1,- 1번 외부출구 측 E/V 앞
,대청,1,- 8번 외부출구 측 E/V 앞
,일원,1,- 1번 외부출구 측 E/V 앞
,수서,3,- 5번 외부출구 앞
,,,- 1-1번 외부출구 측 E/V 앞
,,,- 5번 외부출구 측 E/V 앞
,가락시장,1,- 7번출입구 측 E/V 앞
,경찰병원,2,- 1번 외부출구 측 E/V 앞
,,,- 3번 외부출구 측 E/V 앞
,오금,3,- 1번 외부출구 측 E/V 앞
,소 계,44,
,,,
[4호선],,,
4호선,,,
구 분,역명,개 소,설치위치
4호선,당고개,-,-
,상계,2,대합실 지상2층 상선측 E/V앞
,,,대합실 지상2층 하선측 E/V앞
,노원,3,- 2번 외부출구 측 E/V 앞
,,,- 9번 외부출구 측 E/V 앞
,,,대합실 지상1층 화장실 앞
,창동,3,- 1번 외부출구 측 E/V 앞
,,,- 2번 외부출구 측 E/V 앞
,,,- 대합실 지상 1층 화장실 앞
,쌍문,1,- 1번 외부출구 측 E/V 앞
,수유,1,- 2번 외부출구 측 E/V 앞
,미아,1,- 1번 외부출구 측 E/V 앞
,미아사거리,-,-
,길음,1,- 5번 외부출구 측 E/V 앞
,성신여대입구,3,- 2번 외부출구 측 E/V 앞
,,,- 3번 외부출구 측 E/V 앞
,,,- 대합실 지하1층 3번출구 측 E/V 앞
,한성대입구,1,- 3번 외부출구 측 E/V 앞
,혜화,1,- 2번 외부출구 E/V 앞
,동대문,2,- 9번 외부출구 앞
,,,- 대합실 지하1층 7번출구 측 통로
,동대문,1,- 대합실 지하1층 2호선 연결통로 측
,역사문화공원,,
,충무로,3,- 2번 외부출구 앞
,,,- 4번 외부출구 앞
,,,- 7번 외부출구 측 E/V 앞
,명동,2,- 1번 외부출구 앞
,,,대합실 지하1층 화장실 앞
,회현,1,- 3번 외부출구 앞
,서울역,3,- 9-1번 외부출구 앞
,,,- 12번 외부출구 측 E/V 앞
,,,- 대합실 지하1층 1호선 연결통로 앞
,숙대입구,1,- 10번 외부출구 측 E/V 앞
,삼각지,2,"- 1,2번 외부출구 측 E/V 앞"
,,,"- 5,6번 외부출구 측 E/V 앞"
,신용산,1,- 2번 외부출구 측 장애인 리프트 앞
,이촌,2,- 2번 외부출구 측 E/V 앞
,,,대합실 지하1층 화장실 앞
,동작,1,- 1번 외부출구 앞
,총신대입구,2,- 1번 외부출구 측 E/V 앞
,,,- 14번 외부출구 측 E/V 앞
,사당,1,- 10번 외부출구 측 E/V 앞
,남태령,2,- 2번 외부출구 측 E/V 앞
,,,대합실 지하2층 화장실 앞
,소 계,41,
