호선,역사명,기기명,호기,형식,규격,운행구간,"설치위치
(승차위치기준)","정지
층수",설치일자
2,상왕십리,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,2-3출구 사이,2,2005-03-25
2,왕십리,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),외선 3-2,2,2010-03-09
2,왕십리,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),내선 3-4,2,2012-09-04
2,한양대,E/V,내부#1,로프식(MRL),9인승,F1(승)~F2(대),섬식(외) 3-3,2,2004-12-24
2,한양대,V/L,내부#2,유압식(V/L),4인승,F1(승)~F2(대),섬식(외) 8-2,2,2004-12-24
2,한양대,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),4번 출구(육교),2,2005-07-15
2,뚝섬,E/V,내부#1,로프식(MRL),15인승,F2(대)~F3(승),외선 7-1,2,2005-04-01
2,뚝섬,E/V,내부#2,로프식(MRL),15인승,F2(대)~F3(승),내선 7-1,2,2005-04-01
2,뚝섬,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),3번 출구측,2,2005-04-26
2,성수,E/V,내부#1,로프식(MRL),9인승,F2(대)~F3(승),외선 7-1,2,2015-07-09
2,성수,E/V,내부#2,로프식(MRL),9인승,F2(대)~F3(승),내선 4-4,2,2015-07-09
2,성수,E/V,외부#1,로프식(MRL),15인승,지상~F1(대),1번 출구측,2,2002-09-10
2,성수,E/V,외부#2,로프식(MRL),15인승,지상~F1(대),4번 출구측,2,2002-09-10
2,용답,V/L,내부#1,유압식(V/L),4인승,F1(대)~F2(승),섬식(상) 1-4,2,2005-07-15
2,신답,E/V,내부#1,로프식(MRL),11인승,F1(승)~F2(대),외선 2-4,2,2005-04-14
2,신답,E/V,내부#2,로프식(MRL),15인승,F1(승)~F2(대),내선 3-2,2,2013-08-26
2,용두,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 1-1,2,2005-12-30
2,용두,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-3,2,2005-12-30
2,용두,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2005-12-30
2,용두,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2005-12-30
2,신설동(2),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(외) 4-3,2,2004-05-27
2,신설동(2),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,9번 출구측,3,2012-07-24
2,건대입구,E/V,내부#1,로프식(MRL),15인승,2(대)~3(승),섬식(외)5-4,2,2014-11-21
2,건대입구,E/V,"외부#1
(내부겸용)",로프식(MRL),20인승,지상~F2(대)~F3(승),7-3 ~6번 출구측,3,2012-01-19
2,구의,E/V,내부#1,로프식(MRL),13인승,F2(대)~F3(승),섬식(외)4-3,2,2005-09-16
2,구의,E/V,외부#1,로프식(MRL),15인승,지상~F2(대)~F3(승),7-2 ~ 2번 출구측,3,2005-09-16
2,강변,E/V,내부#1,로프식(MRL),15인승,F1(대)~F2(승),외선 4-2,2,2005-04-08
2,강변,E/V,내부#2,로프식(MRL),15인승,F1(대)~F2(승),내선 7-3,2,2005-04-08
2,잠실나루,E/V,내부#1,로프식(MRL),11인승,F1(대)~F2(승),외선 3-4,2,2004-05-19
2,잠실나루,E/V,내부#2,로프식(MRL),11인승,F1(대)~F2(승),내선 8-1,2,2004-05-19
2,잠실,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 5-2,2,2004-08-31
2,잠실,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 6-3,2,2004-04-19
2,잠실,E/V,외부#1,로프식(MRL),15인승,B1(상가)~지상,6번 출구측,2,2004-04-19
2,잠실,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,"1,2번출구측",3,2014-06-13
2,신천,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 7-3,2,2004-12-29
2,신천,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-1,2,2004-05-24
2,신천,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,7번 출구측,2,2004-05-24
2,신천,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2011-02-08
2,종합운동장,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 2-4,2,2004-06-17
2,종합운동장,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 8-4,2,2004-06-17
2,종합운동장,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,6번 출구측,2,2004-06-17
2,삼성,E/V,내부#1,로프식(MRL),9인승,B2(승)~B1(대),섬식(외) 3-1,2,2004-04-20
2,삼성,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2005-02-15
2,삼성,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,6번 출구측,2,2000-12-01
2,삼성,E/V,외부#3,로프식(MRL),11인승,B1(대)~지상,8번 출구측,2,2004-11-15
2,삼성,E/V,외부#4,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2014-12-05
2,선릉,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2003-10-01
2,선릉,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,5번 출구측,2,2003-10-01
2,선릉,E/V,외부#3,로프식(MRL),15인승,B1(대)~지상,10번 출구측,2,2014-03-03
2,역삼,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 7-3,2,2004-04-14
2,역삼,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-1,2,2004-04-14
2,역삼,E/V,외부#1,로프식(MRL),11인승,B1(대)~지상,3번 출구측,2,2004-12-23
2,역삼,E/V,외부#2,로프식(MRL),11인승,B1(대)~지상,4번 출구측,2,2005-11-17
2,강남,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-1,2,2005-01-25
2,강남,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-4,2,2005-01-25
2,강남,E/V,외부#1,로프식(MRL),15인승,B1(상가)~지상,1번 출구측,2,2005-05-19
2,강남,E/V,외부#2,로프식(MRL),15인승,B1(상가)~지상,10번 출구측,2,2005-05-19
2,교대(2),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-4,2,2003-06-30
2,교대(2),E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-1,2,2003-06-30
2,교대(2),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,5번 출구측,2,2003-06-30
2,서초,E/V,내부#1,로프식(MRL),13인승,B2(승)~B1(대),외선 2-4,2,2004-05-13
2,서초,E/V,내부#2,로프식(MRL),13인승,B2(승)~B1(대),내선 9-1,2,2004-05-13
2,서초,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2005-01-11
2,서초,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상, 4번출구 ,2,2014-04-28
2,방배,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),외선 8-3,2,2004-10-27
2,방배,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),내선 3-1,2,2004-10-27
2,방배,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2004-12-20
2,사당(2),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(외)4-4,2,2003-05-12
2,사당(2),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,14번 출구측,2,2003-12-30
2,사당(2),E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,6번 출구측,2,2014-02-10
2,낙성대,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-2,2,2004-05-10
2,낙성대,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-3,2,2004-05-10
2,낙성대,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,6번 출구측,2,2005-04-15
2,서울대입구,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),섬식(외)6-3,2,2004-04-08
2,서울대입구,E/V,외부#1,로프식(MRL),9인승,B1(대)~지상,6번 출구측,2,2005-01-06
2,서울대입구,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2015-12-15
2,봉천,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),섬식(외)6-3,2,2004-10-18
2,봉천,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2005-04-27
2,신림,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(외) 4-4,2,2004-05-28
2,신림,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2009-09-01
2,신림,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,5번 출구측,2,2013-03-20
2,신대방,E/V,내부#1,로프식(MRL),11인승,F2(대)~F3(승),외선 3-4,2,2004-07-16
2,신대방,E/V,내부#2,로프식(MRL),11인승,F2(대)~F3(승),내선 8-1,2,2004-07-16
2,신대방,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),1번 출구측,2,2005-01-07
2,구로디지털단지,E/V,내부#1,로프식(MRL),11인승,지상~F2(대),외선 3-4,2,2004-07-30
2,구로디지털단지,E/V,내부#2,로프식(MRL),11인승,F2(대)~F3(승),내선 7-4,2,2004-07-30
2,구로디지털단지,E/V,외부#1,로프식(MRL),15인승,F2(대)~F3(승),6번출구,2,2004-07-30
2,대림역,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),7번 출구측(육교),2,2014-05-26
2,대림역,E/V,외부#2,로프식(MRL),15인승,지상~F2(대),4번 출구측(육교),2,2009-11-26
2,대림역,E/V,내부1,로프식(MRL),15인승,F2(대)~F3(승),외선 3-2,2,2009-11-26
2,대림역,E/V,내부2,로프식(MRL),15인승,F2(대)~F3(승),내선 8-3,2,2009-11-26
2,신도림,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식 3-2,2,2013-02-01
2,신도림,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),섬식 4-4,2,2014-06-30
2,신도림,E/V,외부#1,로프식(MRL),17인승,B1(대)~F1~F2,1번 출입구,3,2015-06-13
2,신도림,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2013-02-01
2,도림천,E/V,내부#1,로프식(MRL),11인승,B3(승)~B2(대),섬식(지) 4-4,2,2004-07-30
2,도림천,E/V,외부#1,로프식(MRL),11인승,B3(승)~B2(대)~B1(대),1~2번 출구사이,3,2004-05-10
2,양천구청,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),외선 4-1,2,2004-11-17
2,양천구청,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),내선 3-3,2,2004-11-17
2,양천구청,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-10-20
2,신정네거리,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),외선 4-1,2,2004-09-10
2,신정네거리,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),내선 3-4,2,2004-09-10
2,신정네거리,E/V,외부#1,로프식(MRL),11인승,B2(대)~지상,2번 ~3번출구측,2,2004-12-22
2,문래,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 7-4,2,2004-04-08
2,문래,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-1,2,2004-04-08
2,문래,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,5번 출구,2,2014-07-09
2,영등포구청,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-4,2,2003-06-30
2,영등포구청,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-1,2,2003-06-30
2,영등포구청,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2003-05-12
2,당산,E/V,내부#1,로프식(MRL),11인승,F2(대)~F3(승),외선 8-3,2,2004-12-21
2,당산,E/V,내부#2,로프식(MRL),11인승,F2(대)~F3(승),내선 3-2,2,2004-12-21
2,당산,E/V,외부#1,로프식(MRL),11인승,지상~F2(대),4번 출구측,2,2004-07-30
2,합정,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 4-1,2,2014-07-24
2,합정,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 7-3,2,2015-08-11
2,합정,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-05-13
2,합정,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2014-11-01
2,홍대입구,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(외)7-2,2,2005-02-03
2,홍대입구,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,8번 출구측,2,2005-03-16
2,신촌,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-4,2,2005-03-23
2,신촌,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-4,2,2005-03-23
2,신촌,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2005-11-07
2,이대,E/V경사,내부#1,경사형,11인승,B2(승)~B1(대),섬식(외) 2-2,2,2004-12-23
2,이대,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,6번 출구측,2,2005-12-15
2,아현,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 7-2,2,2005-05-13
2,아현,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-3,2,2005-05-13
2,아현,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2005-01-03
2,충정로,E/V,내부#1,로프식(MRL),13인승,B3(승)~B2(대),섬식(외) 2-1,2,2002-10-09
2,충정로,E/V,외부#1,로프식(MRL),9인승,B2(대)~지상,5번 출구측,2,2004-11-23
3,지축,E/V,내부#1,로프식(MRL),15인승,1F(대)~2F(승),섬식(상) 2-1,2,2011-08-25
3,구파발,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(상) 5-3,2,2004-04-16
3,구파발,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-06-11
3,연신내,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(상) 6-1,2,2004-04-28
3,불광,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),상행 3-3,2,2004-04-28
3,불광,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),하행 8-2,2,2004-04-28
3,불광,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2014-05-26
3,녹번,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(상) 3-1,2,2005-02-21
3,녹번,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2005-04-07
3,홍제,E/V,내부#1,로프식(MRL),11인승,B3(승)~B2(대),섬식(상) 3-4,2,2005-02-03
3,홍제,E/V,외부#1,로프식(MRL),11인승,B2(대)~지상,4번 출구측,2,2005-07-19
3,홍제,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2013-12-05
3,무악재,E/V,내부#1,로프식(MRL),11인승,B3(승)~B2(대),상행 3-3,2,2005-02-22
3,무악재,E/V,내부#2,로프식(MRL),11인승,B3(승)~B2(대),하행 8-2,2,2005-02-22
3,무악재,E/V,외부#1,로프식(MRL),11인승,B2(대)~지상,1번 출구측,2,2005-04-08
3,독립문,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),섬식(상) 9-1,2,2004-05-20
3,독립문,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,4번 출구측,2,2004-12-31
3,경복궁,E/V,내부#1,로프식(MRL),11인승,B3(승)~B2(대),섬식(상) 6-2,2,2005-03-16
3,경복궁,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,4번 출구측,2,2005-07-22
3,안국,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),섬식(상) 3-2,2,2004-04-19
3,안국,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,6번 출구측,2,2006-06-07
3,을지로3가(3),E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대)~B1(대),섬식(상) 6-3,3,2005-05-27
3,을지로3가(3),E/V,외부#1,로프식(MRL),11인승,B1(대)~지상,10번 출구측,2,2005-05-27
3,동대입구,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),섬식(상) 3-3,2,2004-11-17
3,동대입구,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,6번 출구측,2,2004-05-07
3,약수,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(상) 8-4,2,2004-04-28
3,약수,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2014-07-14
3,금호,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(상) 3-2,2,2005-03-09
3,금호,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2005-03-09
3,옥수,E/V,내부#1,로프식(MRL),15인승,F2(대)~F3(승),상행 10-1,2,2014-11-11
3,옥수,E/V,내부#2,로프식(MRL),15인승,F2(대)~F3(승),하행 1-2,2,2014-11-11
